date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:33:16	49319/49319	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/location.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/location.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:17	53449/53449	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/limited-period-offer.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/limited-period-offer.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:17	53511/53511	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/stay-long-save-more.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/stay-long-save-more.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:17	53338/53338	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/early-booker.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/early-booker.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:18	61498/61498	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/winter-rates.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/winter-rates.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:18	56836/56836	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/jeep-and-elephant-safari.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/jeep-and-elephant-safari.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:18	57347/57347	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/special-tours-and-corbett-safaris.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers/special-tours-and-corbett-safaris.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:18	45402/45402	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/about-corbett/about-corbett.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/about-corbett/about-corbett.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:19	40902/40902	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/tariff/tariff.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/tariff/tariff.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:20	304/304	---M-Z	302	error ('Found')	text/html	date:Mon,%2012%20Dec%202016%2019:15:02%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.12.delayed	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms.html)
00:33:20	54965/54965	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/deluxe-rooms.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/deluxe-rooms.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms.html)
00:33:20	49883/49883	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/safaris/corbett-safaris.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/safaris/corbett-safaris.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/)
00:33:20	55225/55225	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/superior-rooms.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/superior-rooms.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms.html)
00:33:20	55282/55282	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/duplex-rooms.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/duplex-rooms.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms.html)
00:33:21	55276/55276	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/leopard-lodge.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/leopard-lodge.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms.html)
00:33:21	55490/55490	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/tiger-lodge.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/tiger-lodge.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms.html)
00:33:22	0/-1	---M--	302	error ('')			http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.19.delayed	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/dining.html)
00:33:22	55120/55120	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/tusker-lodge.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms/tusker-lodge.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/rooms.html)
00:33:22	41719/41719	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/dining/gurney-house.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/dining/gurney-house.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/dining.html)
00:33:22	40910/40910	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/dining/grill-house-restaurant-and-bar.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/dining/grill-house-restaurant-and-bar.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/dining.html)
00:33:23	304/304	---M-Z	302	error ('Found')	text/html	date:Mon,%2012%20Dec%202016%2019:15:05%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/spa-and-wellness/contact-us/hotel-directory.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/spa-and-wellness/contact-us/hotel-directory.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/spa-and-wellness/spa-and-wellness.html)
00:33:23	304/304	---M-Z	302	error ('Found')	text/html	date:Mon,%2012%20Dec%202016%2019:15:05%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/contact-us/hotel-directory.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/contact-us/hotel-directory.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/recreational-activities.html)
00:33:23	44314/44314	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/outdoor-activities.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/outdoor-activities.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/recreational-activities.html)
00:33:23	43909/43909	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Dec%202016%2012:41:35%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/in-house-activities-experiences.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/in-house-activities-experiences.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/activities-experiences/recreational-activities.html)
00:33:23	0/-1	---M--	302	error ('')			http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.20.delayed	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/packages-special-offers.html)
00:33:23	304/304	---M-Z	302	error ('Found')	text/html	date:Mon,%2012%20Dec%202016%2019:15:06%20GMT	http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/plan-an-event/contact-us/hotel-directory.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/plan-an-event/contact-us/hotel-directory.html	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/plan-an-event/conference-hall.html)
00:33:23	0/-1	---M--	302	error ('')			http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.22.delayed	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/gallery.html)
00:33:23	0/-1	---M--	302	error ('')			http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.html	/Users/spg/websites/leshotels2/www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/contact-us/hotel-directory.23.delayed	(from http://www.leisurehotels.co.in/the-river-view-retreat-corbett-resort/location.html)
